x,y
-11.0,20.0
-32.0,-3.0
-8.0,62.0
24.0,14.0
56.0,46.0
35.0,23.0
63.0,-58.0
-15.0,22.0
-69.0,51.0
46.0,38.0
65.0,51.0
-3.0,-4.0
57.0,47.0
63.0,-22.0
-33.0,10.0
-14.0,23.0
39.0,-2.0
-10.0,-7.0
-24.0,58.0
-17.0,-46.0
39.0,34.0
52.0,53.0
36.0,-35.0
-73.0,58.0
-7.0,3.0
71.0,-41.0
57.0,24.0
63.0,-45.0
-24.0,-50.0
29.0,-38.0
-6.0,4.0
-15.0,35.0
26.0,36.0
-13.0,-35.0
25.0,-72.0
-16.0,39.0
58.0,25.0
-53.0,8.0
-52.0,-27.0
8.0,24.0
27.0,37.0
19.0,33.0
25.0,-36.0
-52.0,9.0
-11.0,10.0
-51.0,-26.0
75.0,50.0
47.0,-49.0
-48.0,-21.0
-28.0,-43.0
59.0,-38.0
72.0,44.0
-32.0,72.0
48.0,-48.0
-6.0,-19.0
46.0,28.0
-49.0,19.0
38.0,24.0
-65.0,11.0
-33.0,0.0
19.0,10.0
85.0,-45.0
30.0,19.0
63.0,53.0
23.0,-20.0
-66.0,51.0
-60.0,-18.0
41.0,34.0
52.0,43.0
31.0,20.0
-50.0,32.0
24.0,-19.0
-20.0,54.0
-27.0,15.0
74.0,67.0
64.0,53.0
-46.0,38.0
29.0,-48.0
26.0,26.0
67.0,64.0
-68.0,19.0
-21.0,-49.0
30.0,-4.0
-41.0,-28.0
74.0,-41.0
-62.0,35.0
13.0,-51.0
63.0,66.0
35.0,-33.0
-18.0,-39.0
-13.0,76.0
52.0,56.0
70.0,-39.0
-49.0,-27.0
-17.0,42.0
36.0,-32.0
-37.0,-16.0
28.0,-36.0
69.0,-35.0
-15.0,2.0
-49.0,9.0
38.0,14.0
-57.0,5.0
-65.0,1.0
-12.0,13.0
18.0,35.0
-43.0,25.0
-20.0,8.0
-32.0,-46.0
-33.0,75.0
41.0,24.0
-13.0,53.0
-62.0,48.0
-30.0,0.0
-41.0,70.0
45.0,30.0
56.0,39.0
42.0,-39.0
62.0,-25.0
-25.0,56.0
54.0,-29.0
0.0,0.0
-14.0,65.0
-77.0,45.0
-31.0,12.0
1.0,-36.0
-29.0,58.0
46.0,-28.0
38.0,-32.0
-17.0,32.0
51.0,50.0
58.0,-54.0
-46.0,5.0
30.0,-37.0
-12.0,3.0
20.0,-45.0
-19.0,-37.0
-33.0,65.0
-62.0,38.0
52.0,23.0
-50.0,12.0
24.0,-39.0
37.0,-20.0
16.0,-43.0
-38.0,-14.0
-18.0,-36.0
68.0,-33.0
-15.0,-31.0
26.0,-30.0
58.0,-41.0
50.0,-45.0
-19.0,84.0
27.0,-29.0
18.0,2.0
21.0,13.0
-42.0,-7.0
56.0,-30.0
76.0,-52.0
-9.0,26.0
-44.0,68.0
77.0,-51.0
22.0,13.0
-51.0,29.0
-79.0,47.0
-48.0,34.0
-28.0,12.0
76.0,69.0
47.0,42.0
-15.0,67.0
-2.0,6.0
-45.0,44.0
21.0,26.0
-19.0,-47.0
-14.0,68.0
53.0,-22.0
10.0,16.0
