t,cov_v_theory,cov_v_sim
1.721,0.056142862497036206,0.05941614695217278
1.722,0.05608674769661562,0.05984782793242244
1.723,0.05603068898294739,0.060454637521142815
1.724,0.05597468629997283,0.060350175071622145
1.725,0.05591873959168922,0.060460268739159766
1.726,0.055862848802149874,0.060609763756595374
1.727,0.05580701387546397,0.06065066544146222
1.728,0.0557512347557966,0.060898756251582906
1.729,0.05569551138736863,0.06129390775652349
1.73,0.055639843714456697,0.060951934235770985
1.731,0.0555842316813931,0.06115246752767908
1.732,0.05552867523256583,0.061188712464884484
1.733,0.05547317431241841,0.06122686738776857
1.734,0.05541772886544994,0.06151304451190684
1.735,0.055362338836214935,0.06146203768318121
1.736,0.05530700416932339,0.06129430767480582
1.737,0.05525172480944062,0.06172114520600708
1.738,0.055196500701287274,0.062376314056974407
1.739,0.0551413317896392,0.06234742506300525
1.74,0.05508621801932754,0.06235942211827175
1.741,0.05503115933523847,0.06259252843134702
1.742,0.054976155682313343,0.062357140915307765
1.743,0.054921207005548464,0.0622916274449691
1.744,0.05486631324999518,0.06191382687442757
1.745,0.054811474360759706,0.06197658397830845
1.746,0.054756690283003166,0.06200225089708483
1.747,0.05470196096194147,0.06206951860543265
1.748,0.0546472863428453,0.06179999677946989
1.749,0.05459266637104001,0.061049299298204185
1.75,0.05453810099190566,0.061509896196748175
1.7510000000000001,0.05448359015087684,0.061249994071994454
1.752,0.05442913379344271,0.06121944872516767
1.7530000000000001,0.0543747318651469,0.06157595313052711
1.754,0.054320384311587505,0.06212991581995753
1.7550000000000001,0.05426609107841693,0.06257242790143239
1.756,0.054211852111341975,0.06266176972767969
1.7570000000000001,0.05415766735612363,0.06255722384641677
1.758,0.05410353675857717,0.06285338754363293
1.7590000000000001,0.05404946026457196,0.06295845280895766
1.76,0.053995437820031536,0.06272115657768224
1.7610000000000001,0.05394146937093342,0.06273650773581503
1.762,0.05388755486330918,0.06270002191697241
1.7630000000000001,0.05383369424324428,0.06319123575404402
1.764,0.053779887456878124,0.06305507026890893
1.7650000000000001,0.05372613445040389,0.06324220654190808
1.766,0.0536724351700686,0.0633663582494355
1.7670000000000001,0.05361878956217294,0.06347811845128569
1.768,0.05356519757307133,0.06306944668988615
1.7690000000000001,0.053511659149171734,0.06340320378393999
1.77,0.05345817423693576,0.06364007104815463
1.7710000000000001,0.053404742782878475,0.06381506221886633
1.772,0.05335136473356843,0.06319034763575034
1.7730000000000001,0.05329804003562755,0.06284541919339978
1.774,0.05324476863573115,0.0629707554085608
1.7750000000000001,0.05319155048060782,0.06276162202294895
1.776,0.05313838551703942,0.0626033078212821
1.7770000000000001,0.053085273691860946,0.06213089768394611
1.778,0.05303221495196061,0.061935139254507325
1.7790000000000001,0.05297920924427962,0.061189690677152866
1.78,0.05292625651581231,0.06186725758111145
1.7810000000000001,0.052873356713605914,0.0615292120710761
1.782,0.05282050978476065,0.06138570226640384
1.7830000000000001,0.05276771567642955,0.061058684752427386
1.784,0.05271497433581855,0.06189558110533964
1.7850000000000001,0.05266228571018625,0.06153170174710677
1.786,0.052609649746844074,0.061089994428631174
1.7870000000000001,0.052557066393156014,0.06118679577539396
1.788,0.05250453559653874,0.061128296339701765
1.7890000000000001,0.05245205730446143,0.060813856713815194
1.79,0.052399631464445796,0.060660713353154844
1.7910000000000001,0.05234725802406599,0.060789838698752624
1.792,0.052294936930948575,0.06082478354116721
1.793,0.05224266813277246,0.06038637460040113
1.794,0.052190451577268815,0.06013994899738621
1.795,0.05213828721222111,0.06037159401255852
1.796,0.05208617498546494,0.06013683727588986
1.797,0.05203411484488811,0.05965675569324845
1.798,0.05198210673843046,0.05959056902798637
1.799,0.05193015061408388,0.05871223596372211
1.8,0.05187824641989224,0.05913735355586752
1.801,0.05182639410395135,0.05873182129454785
1.802,0.05177459361440887,0.05843210921943986
1.803,0.05172284489946433,0.05836753859376882
1.804,0.05167114790736899,0.0578008179776947
1.805,0.05161950258642588,0.05789993747530048
1.806,0.05156790888498964,0.0576078692777951
1.807,0.05151636675146659,0.05738924126190982
1.808,0.05146487613431458,0.05780882375064527
1.809,0.051413436982043,0.0575856794131545
1.81,0.05136204924321268,0.05705174250718775
1.811,0.0513107128664359,0.05695389405760361
1.812,0.05125942780037624,0.056952924168059686
1.813,0.051208193993748666,0.057042550763499233
1.814,0.05115701139531934,0.056460926530581365
1.815,0.051105879953905683,0.05605038708860948
1.816,0.05105479961837624,0.05621186362385315
1.817,0.05100377033765067,0.05669943626888582
1.818,0.05095279206069968,0.05608366817314359
1.819,0.05090186473654501,0.05644841432849023
1.82,0.0508509883142593,0.056838777358002746
1.821,0.05080016274296616,0.0569946816087282
1.822,0.05074938797183998,0.05689644980982212
1.823,0.05069866395010601,0.05655608179682613
1.824,0.050647990627040215,0.05717022117342592
1.825,0.050597367951969265,0.05718937106790414
1.826,0.05054679587427049,0.05710629766479002
1.827,0.0504962743433718,0.05677898386896238
1.828,0.05044580330875164,0.05720966836620112
1.829,0.05039538271993902,0.05699061493625509
1.83,0.0503450125265133,0.05697648227055519
1.831,0.050294692678104325,0.056462840960715195
1.832,0.050244423124392194,0.05708198013141667
1.833,0.05019420381510739,0.05728110557479847
1.834,0.050144034700030586,0.05745756111787974
1.835,0.05009391572899266,0.05768802053561626
1.836,0.05004384685187462,0.05757374807374772
1.837,0.049993828018607626,0.05785070441791806
1.838,0.049943859179172795,0.058303844266440225
1.839,0.04989394028360133,0.05844744306569391
1.84,0.04984407128197428,0.05855171714813518
1.841,0.049794252124422685,0.057959694834137564
1.842,0.04974448276112735,0.05770109667596771
1.843,0.04969476314231894,0.05744445069945694
1.844,0.04964509321827779,0.057247538773496524
1.845,0.049595472939334015,0.057710263599156375
1.846,0.049545902255867295,0.05705225449250941
1.847,0.04949638111830698,0.05673285156661196
1.848,0.049446909477131894,0.057127901983788316
1.849,0.049397487282870405,0.056649264841541126
1.85,0.04934811448610032,0.056242204077741755
1.851,0.04929879103744883,0.0556901702534579
1.852,0.049249516887592486,0.05589813559855746
1.853,0.049200291987257144,0.05540204066126841
1.854,0.049151116287217876,0.05525313365910903
