x,y
65,5
-38,29
-52,94
68,10
6,-45
-96,-56
-51,95
-4,27
42,-6
69,11
81,-15
-47,65
10,-39
2,-43
-133,-2
-59,-53
114,18
106,14
11,42
52,43
-43,71
43,-6
-30,10
-26,-20
-54,-82
45,40
5,-33
-90,-5
-49,-4
57,14
-132,-2
68,23
-132,-1
-48,77
27,-9
-22,-14
6,-32
91,12
10,-62
-53,-2
101,56
7,49
-106,-8
-47,78
60,24
-94,-34
39,1
-35,52
-102,-38
13,-51
23,-7
84,9
-58,-75
87,14
-94,2
-101,-37
93,57
-82,-24
-110,-6
-90,-28
56,26
57,-9
113,8
-62,-73
61,-3
-106,-31
-48,90
71,47
84,-14
-52,-24
-60,-28
-59,-63
0,23
114,8
-2,62
-52,61
-58,-62
109,15
-41,70
-121,-2
-88,-5
-109,-28
5,-43
-49,-14
56,39
-56,-53
-52,97
68,13
-12,-10
-39,36
8,-32
67,54
-48,67
11,-27
70,59
110,15
-53,-12
75,-6
48,40
-20,-15
-87,-5
0,0
-60,-51
-55,64
-94,-44
-35,42
6,43
-1,39
4,-30
-2,39
-45,77
-125,5
-133,1
-67,-54
44,42
-44,78
76,-6
-46,5
-5,6
-26,-17
-28,22
18,-11
59,27
98,18
89,49
-4,7
82,10
42,-26
-59,71
-39,49
-60,-74
27,-6
-87,-28
-3,51
4,-53
-63,-43
-84,-17
75,7
94,20
41,14
81,50
60,27
-94,-31
44,19
-44,55
117,9
46,-15
-63,78
-57,-28
-56,-63
-5,19
-99,-25
-107,-29
-48,57
-7,58
59,40
-54,-17
11,-37
63,10
-118,-2
-118,-1
83,-12
-106,-28
-114,-32
12,-36
-102,-58
-1,29
-2,29
13,-71
-10,25
-50,-11
-92,-8
62,50
108,17
-100,-12
-121,-35
86,-1
-9,26
-122,-31
-56,-86
3,0
-52,64
109,18
-119,-26
-53,-81
-39,3
-88,-1
8,-65
79,-5
-24,-18
-37,49
-118,-25
-46,80
29,-6
47,42
-60,-84
11,-24
-57,70
-104,-5
-59,-83
33,0
-81,-22
-56,71
-103,-41
-92,5
15,-49
-62,-81
86,11
59,-6
78,7
-50,87
97,20
-56,-73
-70,-8
-61,77
59,30
99,66
-77,-11
-46,93
-85,-15
115,10
-60,-71
80,52
6,23
-49,87
-10,15
-84,-14
81,53
-100,-22
-81,-9
-61,-31
-115,-2
45,-13
-115,-1
-57,-61
-52,54
