x,y
41.0,-33.0
-88.0,82.0
60.0,-20.0
-130.0,85.0
-56.0,34.0
-111.0,98.0
-72.0,26.0
35.0,-77.0
26.0,103.0
-155.0,28.0
-54.0,80.0
125.0,82.0
78.0,-30.0
83.0,85.0
-5.0,-28.0
-121.0,26.0
13.0,26.0
159.0,80.0
-130.0,-23.0
16.0,31.0
76.0,45.0
48.0,-17.0
-81.0,98.0
-49.0,50.0
-65.0,42.0
129.0,93.0
132.0,98.0
71.0,88.0
-70.0,112.0
62.0,39.0
20.0,42.0
166.0,96.0
-123.0,-7.0
23.0,47.0
-29.0,-143.0
83.0,98.0
25.0,93.0
159.0,93.0
66.0,-135.0
30.0,-58.0
-31.0,-68.0
29.0,-17.0
73.0,-11.0
59.0,91.0
-82.0,115.0
78.0,104.0
-29.0,-22.0
45.0,-73.0
-10.0,-9.0
-65.0,55.0
-38.0,-71.0
77.0,-121.0
22.0,-57.0
-6.0,-119.0
66.0,-14.0
11.0,50.0
38.0,-76.0
-91.0,2.0
-31.0,53.0
84.0,40.0
29.0,104.0
-40.0,4.0
-73.0,56.0
18.0,-55.0
59.0,-17.0
45.0,48.0
-24.0,-52.0
22.0,64.0
-61.0,66.0
25.0,106.0
66.0,107.0
85.0,120.0
66.0,-122.0
38.0,45.0
-103.0,69.0
57.0,58.0
65.0,-118.0
15.0,61.0
175.0,50.0
-18.0,-116.0
1.0,-103.0
193.0,67.0
-10.0,4.0
177.0,59.0
3.0,-57.0
-11.0,8.0
75.0,48.0
-107.0,71.0
80.0,126.0
189.0,69.0
-18.0,5.0
-20.0,-105.0
-134.0,59.0
-11.0,-100.0
-66.0,-36.0
-39.0,67.0
-22.0,7.0
52.0,-44.0
-36.0,72.0
98.0,72.0
-119.0,74.0
-78.0,75.0
-125.0,0.0
-32.0,-38.0
-48.0,-46.0
-62.0,56.0
31.0,18.0
-16.0,-94.0
135.0,75.0
-27.0,13.0
167.0,64.0
-36.0,-36.0
5.0,-35.0
-83.0,118.0
170.0,69.0
-37.0,5.0
73.0,136.0
21.0,-54.0
-34.0,10.0
26.0,24.0
34.0,-115.0
-21.0,-51.0
-76.0,13.0
72.0,140.0
-112.0,90.0
-44.0,-35.0
-39.0,80.0
162.0,70.0
0.0,8.0
19.0,21.0
-36.0,85.0
-69.0,-92.0
63.0,64.0
68.0,142.0
49.0,-100.0
-106.0,26.0
-12.0,-110.0
155.0,67.0
100.0,131.0
-48.0,-33.0
158.0,72.0
-35.0,-94.0
70.0,-41.0
-77.0,-91.0
-46.0,13.0
0.0,-100.0
-14.0,-35.0
5.0,-22.0
-124.0,93.0
44.0,-94.0
109.0,72.0
35.0,86.0
62.0,-40.0
7.0,24.0
-153.0,35.0
-76.0,26.0
53.0,-89.0
39.0,-24.0
-63.0,-35.0
-5.0,-94.0
162.0,83.0
-33.0,73.0
146.0,75.0
165.0,88.0
16.0,-35.0
21.0,80.0
-26.0,-32.0
-7.0,-19.0
20.0,84.0
180.0,73.0
-35.0,-81.0
138.0,76.0
-65.0,-24.0
-79.0,78.0
-33.0,-35.0
41.0,-86.0
-143.0,93.0
118.0,97.0
44.0,-81.0
16.0,86.0
-59.0,-88.0
153.0,91.0
39.0,-11.0
69.0,97.0
57.0,-21.0
-26.0,-19.0
15.0,-18.0
-40.0,46.0
-114.0,97.0
18.0,-13.0
78.0,38.0
23.0,102.0
-65.0,-11.0
36.0,41.0
69.0,-11.0
-107.0,-8.0
13.0,94.0
-108.0,33.0
11.0,-16.0
-75.0,-19.0
30.0,-3.0
-17.0,-78.0
48.0,51.0
-133.0,-24.0
-54.0,40.0
64.0,-5.0
36.0,-67.0
-61.0,0.0
-75.0,102.0
-116.0,64.0
-122.0,-10.0
-103.0,3.0
-72.0,107.0
-4.0,-18.0
101.0,-1.0
87.0,100.0
-95.0,123.0
101.0,-2.0
18.0,0.0
45.0,-126.0
-129.0,-13.0
-107.0,5.0
-80.0,108.0
94.0,-5.0
-89.0,59.0
-86.0,64.0
29.0,51.0
84.0,-13.0
63.0,-136.0
-37.0,-74.0
75.0,103.0
85.0,67.0
52.0,-110.0
-36.0,6.0
-91.0,70.0
24.0,57.0
84.0,108.0
87.0,113.0
119.0,65.0
67.0,-125.0
-43.0,3.0
-98.0,67.0
-80.0,121.0
47.0,-104.0
-50.0,0.0
46.0,-63.0
156.0,68.0
49.0,-58.0
-18.0,-48.0
-87.0,81.0
73.0,70.0
114.0,71.0
-34.0,-56.0
-15.0,-43.0
67.0,-4.0
-71.0,62.0
3.0,11.0
-112.0,24.0
94.0,129.0
-113.0,65.0
47.0,17.0
0.0,-58.0
-110.0,70.0
65.0,71.0
-23.0,-42.0
-92.0,124.0
68.0,76.0
26.0,79.0
67.0,-112.0
-117.0,67.0
-76.0,68.0
89.0,135.0
-85.0,19.0
-44.0,20.0
56.0,-42.0
28.0,-104.0
-41.0,25.0
179.0,65.0
-143.0,14.0
-83.0,65.0
32.0,15.0
156.0,81.0
95.0,71.0
-20.0,-145.0
-148.0,84.0
72.0,87.0
-21.0,-104.0
-90.0,25.0
-30.0,76.0
130.0,65.0
-132.0,28.0
148.0,82.0
-55.0,19.0
5.0,33.0
151.0,87.0
-28.0,-144.0
-97.0,22.0
68.0,89.0
35.0,-88.0
-139.0,25.0
-34.0,78.0
-67.0,-99.0
26.0,92.0
-136.0,30.0
-90.0,146.0
-49.0,-82.0
-63.0,20.0
-118.0,84.0
-44.0,33.0
83.0,74.0
-79.0,12.0
-143.0,27.0
-56.0,-85.0
-70.0,-20.0
-84.0,82.0
90.0,-31.0
7.0,-29.0
34.0,74.0
39.0,-77.0
-16.0,-13.0
-151.0,28.0
9.0,17.0
83.0,-34.0
-33.0,20.0
-88.0,84.0
-56.0,36.0
30.0,39.0
-70.0,101.0
-72.0,28.0
7.0,92.0
81.0,41.0
-54.0,82.0
125.0,84.0
166.0,85.0
92.0,136.0
83.0,87.0
-93.0,90.0
55.0,-12.0
-74.0,103.0
-121.0,28.0
25.0,82.0
-130.0,-21.0
-163.0,31.0
16.0,33.0
90.0,-18.0
-81.0,100.0
-128.0,-12.0
-13.0,-25.0
6.0,-12.0
-49.0,52.0
-123.0,103.0
69.0,44.0
129.0,95.0
-116.0,-2.0
-130.0,100.0
43.0,-9.0
20.0,44.0
